"year","month","scenario","measure","x","y","value"
2070,"apr","A1B","baseflow",-118.75,47.75,0.024490000680089
2070,"apr","A1B","baseflow",-118.25,47.75,0.157120004296303
2070,"apr","A1B","baseflow",-117.75,47.75,9.07489013671875
2070,"apr","A1B","baseflow",-117.25,47.75,16.7329998016357
2070,"apr","A1B","baseflow",-123.75,47.25,180.091995239258
2070,"apr","A1B","baseflow",-123.25,47.25,156.602005004883
2070,"apr","A1B","baseflow",-122.75,47.25,62.3464012145996
2070,"apr","A1B","baseflow",-122.25,47.25,50.671199798584
2070,"apr","A1B","baseflow",-121.75,47.25,140.457992553711
2070,"apr","A1B","baseflow",-121.25,47.25,138.158004760742
2070,"apr","A1B","baseflow",-120.75,47.25,80.2126998901367
2070,"apr","A1B","baseflow",-120.25,47.25,3.01203989982605
2070,"apr","A1B","baseflow",-119.75,47.25,0.00836999993771315
2070,"apr","A1B","baseflow",-119.25,47.25,0.00167000002693385
2070,"apr","A1B","baseflow",-118.75,47.25,0.00383000005967915
2070,"apr","A1B","baseflow",-118.25,47.25,0.0470600016415119
2070,"apr","A1B","baseflow",-117.75,47.25,6.85853004455566
2070,"apr","A1B","baseflow",-117.25,47.25,11.3966999053955
2070,"apr","A1B","baseflow",-123.75,46.75,155.585006713867
2070,"apr","A1B","baseflow",-123.25,46.75,100.802001953125
2070,"apr","A1B","baseflow",-122.75,46.75,64.0145034790039
2070,"apr","A1B","baseflow",-122.25,46.75,111.556999206543
2070,"apr","A1B","baseflow",-121.75,46.75,133.699996948242
2070,"apr","A1B","baseflow",-121.25,46.75,118.013999938965
2070,"apr","A1B","baseflow",-120.75,46.75,9.8528299331665
2070,"apr","A1B","baseflow",-120.25,46.75,0.000809999997727573
2070,"apr","A1B","baseflow",-119.75,46.75,0.000469999999040738
2070,"apr","A1B","baseflow",-119.25,46.75,0
2070,"apr","A1B","baseflow",-118.75,46.75,0.0228700004518032
2070,"apr","A1B","baseflow",-118.25,46.75,1.21898996829987
2070,"apr","A1B","baseflow",-117.75,46.75,4.70577001571655
2070,"apr","A1B","baseflow",-117.25,46.75,19.8318996429443
2070,"apr","A1B","baseflow",-123.25,46.25,125.983001708984
2070,"apr","A1B","baseflow",-122.75,46.25,88.1792984008789
2070,"apr","A1B","baseflow",-122.25,46.25,146.899993896484
2070,"apr","A1B","baseflow",-121.75,46.25,144.927993774414
2070,"apr","A1B","baseflow",-121.25,46.25,92.067497253418
2070,"apr","A1B","baseflow",-120.75,46.25,3.1533100605011
2070,"apr","A1B","baseflow",-120.25,46.25,0.0203099995851517
2070,"apr","A1B","baseflow",-119.75,46.25,0.0155199998989701
2070,"apr","A1B","baseflow",-119.25,46.25,0
2070,"apr","A1B","baseflow",-118.75,46.25,0.016380000859499
2070,"apr","A1B","baseflow",-118.25,46.25,15.645899772644
2070,"apr","A1B","baseflow",-117.75,46.25,53.9444007873535
2070,"apr","A1B","baseflow",-117.25,46.25,5.08098983764648
2070,"apr","A1B","baseflow",-123.75,45.75,154.210006713867
2070,"apr","A1B","baseflow",-123.25,45.75,80.3162002563477
2070,"apr","A1B","baseflow",-122.75,45.75,57.7019996643066
2070,"apr","A1B","baseflow",-122.25,45.75,163.074996948242
2070,"apr","A1B","baseflow",-121.75,45.75,155.399002075195
2070,"apr","A1B","baseflow",-121.25,45.75,16.2887001037598
2070,"apr","A1B","baseflow",-120.75,45.75,1.1567599773407
2070,"apr","A1B","baseflow",-120.25,45.75,0.0178999993950129
2070,"apr","A1B","baseflow",-119.75,45.75,0.00155000004451722
2070,"apr","A1B","baseflow",-119.25,45.75,1.04647994041443
2070,"apr","A1B","baseflow",-118.75,45.75,22.5093994140625
2070,"apr","A1B","baseflow",-118.25,45.75,66.5358963012695
2070,"apr","A1B","baseflow",-117.75,45.75,57.9646987915039
2070,"apr","A1B","baseflow",-117.25,45.75,22.4778003692627
