"Year","Epoch","Season","Scenario","Value"
2005,"Future","Annual","RCP6",0.84
2005,"Future","Annual","RCP8.5",0.375
2005,"Future","Autumn","RCP2.6",0.6775
2005,"Future","Autumn","RCP4.5",0.4475
2005,"Future","Autumn","RCP6",1.12
2005,"Future","Autumn","RCP8.5",0.445
2005,"Future","Spring","RCP2.6",1.5575
2005,"Future","Spring","RCP4.5",0.825
2005,"Future","Spring","RCP6",-0.255
2005,"Future","Spring","RCP8.5",-0.29
2005,"Future","Summer","RCP2.6",0.09
2005,"Future","Summer","RCP4.5",1.3675
2005,"Future","Summer","RCP6",1.535
2005,"Future","Summer","RCP8.5",1.6475
2005,"Future","Winter","RCP2.6",2.05
2005,"Future","Winter","RCP4.5",0.3625
2005,"Future","Winter","RCP6",1.13
2005,"Future","Winter","RCP8.5",-0.0125
2005,"Historical","Annual","RCP2.6",1.08
2005,"Historical","Annual","RCP4.5",0.565
2005,"Historical","Annual","RCP6",0.85
2005,"Historical","Annual","RCP8.5",0.935
2005,"Historical","Autumn","RCP2.6",0.695
2005,"Historical","Autumn","RCP4.5",1.32
2005,"Historical","Autumn","RCP6",0.72
2005,"Historical","Autumn","RCP8.5",0.98
2005,"Historical","Spring","RCP2.6",2.085
2005,"Historical","Spring","RCP4.5",0.8
2005,"Historical","Spring","RCP6",0.11
2005,"Historical","Spring","RCP8.5",-0.295
2005,"Historical","Summer","RCP2.6",0.11
2005,"Historical","Summer","RCP4.5",-0.945
2005,"Historical","Summer","RCP6",0.795
2005,"Historical","Summer","RCP8.5",1.17
2005,"Historical","Winter","RCP2.6",1.165
2005,"Historical","Winter","RCP4.5",0.715
2005,"Historical","Winter","RCP6",1.43
2005,"Historical","Winter","RCP8.5",1.49
2010,"Future","Annual","RCP2.6",1.006
2010,"Future","Annual","RCP4.5",1.374
2010,"Future","Annual","RCP6",0.514
2010,"Future","Annual","RCP8.5",1.24
2010,"Future","Autumn","RCP2.6",1.216
2010,"Future","Autumn","RCP4.5",1.004
2010,"Future","Autumn","RCP6",0.296
